Ticker Symbol,Period Ending,Earnings Per Share,Estimated Shares Outstanding,Net Income,Total Revenue,Total Assets,Total Liabilities,Current Ratio,Quick Ratio,Operating Margin,Gross Margin,Research and Development,Cash and Cash Equivalents,Capital Expenditures,Common Stocks,Retained Earnings,Treasury Stock,Total Equity,Short-Term Investments,Long-Term Debt,Interest Expense,Net Cash Flow,Net Cash Flow-Operating
AAL,2012-12-31,-5.6,335000000.0,-1.9110568745966174,0.521269324228107,-0.12247845687941883,0.017987135944070715,78.0,72.0,-1.2976912149986963,0.4631652310117774,-0.3392145448747636,-0.14824693391981184,-0.7642324796659921,-0.18863197233600426,-1.6720136274505148,0.37859883753443957,-1.665883793965675,1.79599796746823,0.308055085126769,1.4207195718867394,0.13122789694026943,-0.28076347103550986
AAL,2013-12-31,-11.25,163022222.222,-1.8836809402802221,0.6106828458854301,0.17104034931419412,0.3670441478448932,104.0,96.0,-0.9748043424608829,0.5031695808082174,-0.3392145448747636,-0.09297976923140024,-1.65863920820392,-0.23385911740681858,-1.8773494640999875,0.4412443650451088,-1.0994280860937833,4.657128556917477,1.5593107200635397,2.1859317502982867,0.591752493965671,-0.5457091476865263
AAL,2014-12-31,4.02,716915422.886,1.1902453986749977,1.3640201811624628,0.18585078779806835,0.3010255609931868,88.0,80.0,-0.5711957517886161,0.6631869799939772,-0.3392145448747636,-0.11959957518191329,-3.2614219020031276,-0.23311768879910033,-1.5712490402179493,0.4412443650451088,-0.5872900488397443,3.5599254664327904,1.664126355380569,2.2918316499891707,-0.20993827321029807,0.49887175779821885
AAL,2015-12-31,11.39,668129938.543,4.271993433149188,1.285404478857825,0.2670188719916346,0.32836992180219843,73.0,67.0,-0.1675871611163494,1.063230477958377,-0.3392145448747636,-0.16427114143301996,-3.87422912220856,-0.23348840310295946,-0.7503535362299815,0.4412443650451088,-0.19779786309982486,3.2889735378724763,2.011537019105274,2.26791876941381,-0.6654896024492483,1.8752862648589912
AAP,2012-12-29,5.29,73283553.8752,-0.4355787499777108,-0.361973213202248,-0.4180020052773548,-0.3548379552619858,124.0,34.0,-0.4904740336541628,0.1431304326402577,-0.3392145448747636,-0.19611608172648273,0.41528864433175344,-0.23571009392598724,-0.5326012632204071,0.4366193498737148,-0.6746192837755969,-0.28150311174028914,-0.6810914325204985,-0.6226668184100139,0.47260294433786787,-0.5412437271920196
AAP,2013-12-28,5.36,73089179.1045,-0.4329141590375817,-0.3482954544080885,-0.4031296350760612,-0.34363910352352406,144.0,52.0,-0.5711957517886161,0.1431304326402577,-0.3392145448747636,-0.16247440263875326,0.4703136259793662,-0.23571009392598724,-0.49070424353432623,0.422827945527054,-0.6416933991166073,-0.28150311174028914,-0.6130057782327597,-0.6131802370731887,0.44689114988191403,-0.602064396121722
AAP,2015-01-03,6.75,73159259.2593,-0.3663860759930222,-0.189641058228242,-0.3656330454858594,-0.3104844651037006,130.0,22.0,-0.6519174699230695,-0.05689131634194212,-0.3392145448747636,-0.22838948970737008,0.4464659411921098,-0.23571009392598724,-0.43738533396412904,0.42194817700174064,-0.5892394496852517,-0.28150311174028914,-0.5243464857061843,-0.487500969020685,-1.067130708883065,-0.530945592776617
AAP,2016-01-02,6.45,73395038.7597,-0.3797005571901889,-0.19470102056639527,-0.36293984466221363,-0.3154385310919216,130.0,20.0,-0.7326391880575228,-0.05689131634194212,-0.3392145448747636,-0.22929789876104742,0.4418691575081641,-0.23571009392598724,-0.38636083404521737,0.42081048642719404,-0.5399077963560188,-0.28150311174028914,-0.5886258133647365,-0.514829975392526,-0.07853359710312133,-0.5393495827725523
ABC,2013-09-30,1.88,230695212.766,-0.4055714669271422,3.5098105332968736,-0.19428424828195073,-0.12588492349433736,97.0,50.0,-1.2976912149986963,-1.7370740077924207,-0.3392145448747636,-0.1547216294241487,0.4654308655926579,-0.2347199160203795,-0.44375891802789375,0.18232271851180185,-0.5550933573541682,-0.28150311174028914,-0.5607592855086024,-0.4858304835062062,0.09880020166549158,-0.49657475478300794
ABC,2014-09-30,1.22,224778688.525,-0.5095198449503741,5.006822102707422,-0.15341017494790948,-0.07424310280100298,97.0,48.0,-1.2976912149986963,-1.7770783575888607,-0.3392145448747636,-0.11694982530851492,0.4201947497554219,-0.23470768244835213,-0.4368156781643076,0.046359050514776574,-0.5941984159117185,-0.28150311174028914,-0.46976321194132875,-0.4525676666258793,0.5097005380641236,-0.202733060227212
ABC,2015-09-30,-0.62,222846774.194,-0.7783221885791778,5.78316049812452,-0.05283683493559705,0.06059291197526726,94.0,49.0,-1.3784129331331496,-1.7370740077924207,-0.3392145448747636,-0.09347409968195054,0.4441759389727945,-0.23469322459050165,-0.4822649854322939,-0.267315299151636,-0.738669732564396,-0.28150311174028914,-0.2048997220437558,-0.3657912391436912,0.29229115281872786,0.8646826878874522
ABC,2016-09-30,6.73,212173699.851,0.2424703465946425,6.298798190085801,0.036201237888358016,0.1331213999535861,90.0,48.0,-1.2976912149986963,-1.7370740077924207,-0.3392145448747636,-0.05590616272884197,0.27417227310173253,-0.23468284458999358,-0.3546911960419369,-0.30913776057102715,-0.5756070076380425,-0.28150311174028914,-0.18499705577766612,-0.26031493905157094,0.5066002029260498,0.541652666508211
ABT,2012-12-31,3.76,1585904255.32,3.198465723170552,0.2463511604459246,0.5613509229594412,0.28905372789787076,236.0,207.0,-0.8133609061919762,0.2631434820295776,2.678284290878526,0.47126855001940093,-0.6963859660003906,4.122033952938003,2.0913197843808495,-0.513118425996176,2.074706904058986,2.3805234762725025,1.9743198732318359,0.35488832338494125,3.902954186185027,3.2065297057366395
ABT,2013-12-31,1.64,1570731707.32,0.9907921629412622,0.27509798652960843,0.18159689205613194,-0.10535744590317787,202.0,174.0,-0.4904740336541628,0.2631434820295776,2.4924014057191854,-0.007953362018459286,-0.22218990274618727,4.230653243968729,1.8481412471929244,-0.727000840085736,1.9076585122778915,2.5333525415952867,-0.2582531590208916,-0.2429336909990801,-7.352545468111829,0.6048500284586255
ABT,2014-12-31,1.5,1522666666.67,0.8004642386463249,0.3030397120475219,0.15429063483031946,-0.07240887916693858,130.0,104.0,-0.3290305973852561,0.30314783182601757,2.4387019055620427,0.030504736013240157,-0.17258169920574756,4.354842535761539,1.9483460311630871,-1.0400577813788348,1.5148253587023501,-0.03977745862018888,-0.25749362543163773,-0.22585306201667948,0.5201374378407706,0.7573023768266693
ABT,2015-12-31,2.94,1504421768.71,2.194681464902732,0.3105224114235055,0.15491620773354542,-0.06624945779181224,154.0,126.0,-0.24830887925080275,0.42316088121533746,2.5626238290016032,0.09185455906380832,-0.19665626857096094,4.484963256416095,2.271128592264739,-1.3718913112991098,1.4808768145661924,0.4028788381513801,0.11893122140256371,-0.1814434266624379,0.86826618289237,0.44935731986671745
ADBE,2013-11-29,0.58,499974137.931,-0.4992506105419264,-0.46378353129473304,-0.32781810184520593,-0.3504561949471692,265.0,265.0,-0.5711957517886161,1.5832870253120965,1.3680805133713536,-0.1806514133776644,0.475711436244009,-0.23569007535357886,0.1631293967759768,-0.1806345433243597,-0.0803645680482113,1.142788275856502,-0.5451598327457894,-0.5076561112199177,-0.6520578008116004,-0.3386666971618273
